artist,title
Danger Dan,Das ist alles von der Kunstfreiheit gedeckt
Daniel Barenboim,"Nocturne n° 2 in E flat, op. 9 n° 2 - Nocturne No. 2 in E-Flat Major, Op. 9 No. 2"
Daniel Caesar,Get You (feat. Kali Uchis)
Daniel K Universe,Isolation
Daniel Pemberton,"Amaze Amaze Amaze (Life on Erid) (from ""Project Hail Mary"")"
Danzig,Mother (Album Version)
Dara,Bangaranga
Daryl Hall & John Oates,I Can't Go For That (No Can Do) (Remastered 2003)
DataGlide,Automatic Home
DataGlide,Doomscrolling Dance Mix
David Arkenstone,The Malabar Caves
David Bowie,"""Heroes"" (2017 Remaster)"
David Bowie,Breaking Glass  (2017 Remaster)
David Bowie,Dancing in the Street (2002 Remaster)
David Bowie,Dollar Days
David Bowie,Let's Dance  (2018 Remaster)
David Bowie,Moonage Daydream (2012 Remaster)
David Bowie,Rebel Rebel
David Bowie,Slip Away
David Bowie,Subterraneans  (2017 Remaster)
David Bowie,Wild Is the Wind  (2016 Remaster)
David Eisley,Sweet Victory
David Sylvian,Darkest Dreaming
Dawes,All Your Favorite Bands
De La Soul,Me Myself and I
Dead Can Dance,The Host of Seraphim (Remastered)
Dean Martin,Everybody Loves Somebody
Dean Martin,Let It Snow! Let It Snow! Let It Snow!
Deathbrain,the empty space is stuck in my head
Dee Jay Hupe,"Wo bist du, mein Sonnenlicht?"
DEEN,Ride On Time
Deep Forest,Sweet Lullaby
Def Leppard,Photograph
Deftones,Be Quiet and Drive (Far Away)
Deftones,Change (In the House of Flies)
Deftones,Cherry Waves
Delia Derbyshire,"Doctor Who Opening Titles (“In Colour” Mix, Daleks Version)"
Dennis Edwards,Don't Look Any Further (Single Version)
Depeche Mode,Enjoy the Silence
Depeche Mode,Just Can't Get Enough
Depeche Mode,Policy of Truth
Depeche Mode,Precious
Diana Ross,I'm Coming Out
Diana Ross,Muscles
Die Fantastischen Vier,MfG - Mit freundlichen Grüßen  (2022)
Die Gebrüder Brett,Panzerband und billiges Crack (Dr Donk Remix)
Die Lochis,Durchgehend Online
Die Prinzen,Alles nur geklaut
Die Sacknähte,Unten kommt die Gurke rein
Die Toten Hosen,Walkampf
Die vier Belcantos,"Gib acht auf dein Herz, Margarete"
Die Woodys,Fichtl's Lied
die ärzte,Junge (Economy Version)
die ärzte,Lasse redn (Economy Version)
die ärzte,Schrei nach Liebe
die ärzte,Westerland
Dietrich Fischer-Dieskau,"Schubert: Erlkönig, D. 328"
Digable Planets,Rebirth Of Slick (Cool Like Dat)
DIIV,Doused
Dimitri Vegas & Like Mike,Move Your Body
Dimitri Vegas & Like Mike,Thank You (Not So Bad)
Dio,Holy Diver
Dio,Rainbow in the Dark
Dire Straits,Sultans Of Swing
Dire Straits,Walk Of Life
Dire Straits,Your Latest Trick
Dirty Loops,Rock You
Dirty Loops,Wake Me Up
Disclosure,Help Me Lose My Mind
Disclosure,Latch
Disturbed,Won't Back Down
Dive,Captain Nemo
Dive,City Of Sound
Dive,Same Old Town
Dive,When The River Turns To Sea
DJ Benjii,Aykedashem Lebe
DJ Heartstring,Don't Stop
Dj Rashad,"Drank, Kush, Barz (feat. DJ Spinn)"
DJ ROBIN,Layla
DJ TÖRKE,HÄRTERE DRINKS
DJ TÖRKE,WEISSER REDBULL (Lil Texas Remix)
Djivan Gasparyan,Fallen Star
Djivan Gasparyan,Take My Heart
Djivan Gasparyan,Together Forever
Dolly Parton,Coat of Many Colors
Dolly Parton,I Dreamed About Elvis
Dolly Parton,I Will Always Love You
Dolly Parton,Jolene
Don McLean,Vincent
Donald Fagen,The Nightfly
Donna De Lory,Praying For Love
Donna Summer,I Feel Love
Donna Summer,Last Dance
Donny Hathaway,Jealous Guy  (Live)
Donovan Collins,Killer Queen Bee
Dope Lemon,Honey Bones
Dorian Electra,Bizarre Love Triangle
Dorian Electra,Career Boy
Dorian Electra,Feel Good Inc.
Dorian Electra,Hella Good
Dorian Electra,Man To Man
Dot Allison,Bleached By The Sun
Dr. Motte and Westbam present,Love Parade 1998 One World One Future  (Offical)
Dr. Peacock,Das Boot
Dr. Peacock,Trip to Valhalla
DrachenLord,Skrrr Skrrr
Dragonforce,Through The Fire And Flames
Drahdiwaberl,Plöschberger
Drake,Whisper My Name
Dua Lipa,Don't Start Now
Duke Ellington,In A Sentimental Mood
Duke Ellington,The Waltz You Saved for Me (LP Version)
Duncan Laurence,Arcade (feat. FLETCHER)
Duran Duran,Ordinary World
Duran Duran,PSYCHO KILLER (feat. Victoria De Angelis) (Cover)
Durand Jones & The Indications,Witchoo
Dutyyaknow,Close in the Distance (FFXIV Endwalker) [Synthwave]
Dúné,Hardcore Vibes
E Nomine,Mitternacht (2022 Remastered)
E Nomine,Vater Unser (2023 Remastered)
Eagles,I Can't Tell You Why  (2013 Remaster)
Eagles,Take It Easy
"Earth, Wind & Fire",Let's Groove (Album Version)
"Earth, Wind & Fire",September
"Earth, Wind & Fire",Shining Star
EAV (Erste Allgemeine Verunsicherung),Ba-Ba Banküberfall
EAV (Erste Allgemeine Verunsicherung),Burli
Echo And The Bunnymen,The Killing Moon
Ed Sheeran,Bad Habits
Ed Sheeran,Perfect
Edie Brickell & New Bohemians,Circle (Album Version)
Edith Piaf,La Vie en rose
Ednaswap,Torn
Edwin Rosen,leichter//kälter
Edwin Rosen,Vertigo
Edwin Starr,War
Eiffel 65,Blue (Flume Remix)
Eisbrecher,This is Deutsch
Electric Light Orchestra,Evil Woman
Electric Light Orchestra,"Yours Truly, 2095"
Elis Regina,Águas De Marco
Ella Fitzgerald,"Bewitched, Bothered And Bewildered"
Ella Fitzgerald,"Bewitched, Bothered And Bewildered  (Ella Fitzgerald and Her Famous Orchestra Bewitched, Bothered And Bewildered)"
Ella Fitzgerald,Summertime
Elliott Smith,Angeles
Elliott Smith,Independence Day
Ellis,The Taste
Eluvium,Indoor Swimming At The Space Station
Eluvium,Surrounded by Illusion
Eluvium,Taken
Elvis Costello,Almost Blue
Elvis Costello,Watching The Detectives (Single Version)
Elvis Presley,(Let Me Be Your) Teddy Bear
Elvis Presley,Can't Help Falling in Love
Elvis Presley,Hound Dog
Emancipator,Soon It Will Be Cold Enough to Build Fires
Eminem,Without Me (Album Version)
Emmylou Harris,Mister Sandman
Empire Of The Sun,Alive
Engst,Wenn du dumm bist
Enjambre,Vida En El Espejo
Ennio Morricone,"Once Upon a Time in the West (From ""Once Upon a Time in the West"")"
Ennio Morricone,The Ecstasy of Gold
Enya,Caribbean Blue (2009 Remaster) (Remastered 2009)
Enya,Orinoco Flow
Equilibrium,Unbesiegt
Erdem Kınay,Mahşer
Eric B. & Rakim,Paid In Full
Eric Clapton,Change the World
Eric Clapton,Tears in Heaven (Acoustic Live)
Erik Wøllo,Computerlove
Erlon Chaves,Velvet Mornings  / Shabala
Ernst Mosch und seine Original Egerländer Musikanten,Auf der Vogelwiese
Erykah Badu,Tyrone (Live Version)
Eskimo Joe,"Black Fingernails, Red Wine"
Etta James,At Last
Etta James,I'd Rather Go Blind
Euology,Logic
Eva Cassidy,At Last (Acoustic)
Evan Fong,pe$o$
Evanescence,Bring Me To Life
Evanescence,Going Under
Evergrey,In Orbit
Evil Neuro,BOOM
Ewan Maccoll,The First Time Ever I Saw Your Face
Explosions In The Sky,Your Hand in Mine
Fabrizio De Andrè,Bocca di rosa
Faithless,Insomnia (Monster Mix)
Falco,Rock Me Amadeus
Falco,The Sound of Musik
Falco,Vienna Calling
Fall Out Boy,Uma Thurman
Fat Bard,Crashlands!
Fat Bard,The Tendraam
Father John Misty,Just Dumb Enough to Try
Federico Aubele,Postales
Fela Kuti,Water No Get Enemy
Fennesz,Endless Summer
Ferrante & Teicher,Exodus
Fettes Brot,Jein (Live)
Filippo Beck Peccoz,Desperados III Main Theme
Filippo Beck Peccoz,Main Theme
Filippo Beck Peccoz,The Thieves of Imai
Filippo Beck Peccoz,Until Death Do Us Part
Finch,Abfahrt
Fiona Apple,Slow Like Honey
Fito Páez,El amor después del amor
Flauschi,Pink
Fleet Foxes,Helplessness Blues
Fleet Foxes,Mykonos
Fleetwood Mac,Albatross
Fleetwood Mac,Dreams  (2001 Remaster)
Fleetwood Mac,I Know I'm Not Wrong
Fleetwood Mac,Sara
Fleetwood Mac,Songbird (2004 Remaster)
Fleetwood Mac,That's All for Everyone
Fleetwood Mac,The Ledge
Fleetwood Mac,Tusk
Flight Facilities,Crave You
Floating Points,Birth4000
Floating Points,Last Bloom
Flying Lotus,Do The Astral Plane
Foghat,Burnin' the Midnight Oil
Foo Fighters,Everlong
Foster The People,Pumped Up Kicks
Foster The People,Sit Next to Me
Fox Amoore,Come Find Me
France Clidat,"Pièces froides No.1 ""Trois airs à faire fuir"""
Frank Carter & The Rattlesnakes,Anxiety (Youngr Remix)
Frank Carter & The Rattlesnakes,Kitty Sucker
Frank Ocean,Pink + White
Frank Ocean,Pyramids
Frank Ocean,Thinkin Bout You (Spring Sampler / 2012)
Frank Sinatra,Fly Me To The Moon (Remastered 2008)
Frank Sinatra,My Way
Frank Zander,Captain Starlight
Franko Mladen,Jamboree  (Remastered)
Franz Ferdinand,Take Me Out
Fraunhofer Diffraction,Kvrt in Space
Fred again..,Victory Lap
Freddie King,Going Down
Freddie Mercury,Love Kills
Free,Wild Indian Woman
Frightened Rabbit,The Modern Leper
Fugazi,Waiting Room
Fugees,Killing Me Softly
Fugees,Ready or Not
G.Rag & die Landlergschwister,Odessa
Gal Costa,Baby (Original Album)
Galimatias,Sly
Garbage,Only Happy When It Rains
Gary Jules,Mad World
Gary Moore,Parisienne Walkways
Gebirgsmusikkorps Garmisch-Partenkirchen,Badner Lied
Gene Kelly,Singin' in the Rain
Gene Watson,At Last
Geoffrey Oryema,Solitude
Georg Nettelmann,Mir ist so nach dir
George Benson,Affirmation (Album Version)
George Benson,Dreamin' (Album Version)
George Clanton,Make It Forever
George Michael Duet with Mary J. Blige,As (Album Version)
Geowulf,Saltwater
Geraint Watkins,At Last
Gerhard Wendland,Ich habe leider kein Vermögen
Gerry Rafferty,Baker Street
Gerry Rafferty,Right Down the Line
