artist,title
David Sylvian,Darkest Dreaming
Dawes,All Your Favorite Bands
De La Soul,Me Myself and I
Dead Can Dance,The Host of Seraphim (Remastered)
Dean Martin,Everybody Loves Somebody
Deathbrain,the empty space is stuck in my head
DEEN,Ride On Time
Def Leppard,Photograph
Deftones,Change (In the House of Flies)
Deftones,Cherry Waves
Delia Derbyshire,"Doctor Who Opening Titles (“In Colour” Mix, Daleks Version)"
Dennis Edwards,Don't Look Any Further (Single Version)
Depeche Mode,Enjoy the Silence
Depeche Mode,Just Can't Get Enough
Depeche Mode,Policy of Truth
Depeche Mode,Precious
Diana Ross,I'm Coming Out
Diana Ross,Muscles
Die Gebrüder Brett,Panzerband und billiges Crack (Dr Donk Remix)
Die Toten Hosen,Walkampf
DIIV,Doused
Dio,Holy Diver
Dio,Rainbow in the Dark
Dire Straits,Six Blade Knife
Dire Straits,Sultans Of Swing
Dire Straits,Walk Of Life
Dire Straits,Your Latest Trick
Disclosure,Help Me Lose My Mind
Disturbed,Won't Back Down
Dive,City Of Sound
Dive,Same Old Town
Dive,When The River Turns To Sea
DJ Benjii,Aykedashem Lebe
DJ Cam Quartet,Boss Guitar
DJ Cam Quartet,Everybody Loves the Sunshine
Djivan Gasparyan,Fallen Star
Djivan Gasparyan,Take My Heart
Djivan Gasparyan,Together Forever
Dolly Parton,Coat of Many Colors
Dolly Parton,I Dreamed About Elvis
Dolly Parton,I Will Always Love You
Dolly Parton,Jolene
Don McLean,Vincent
Donald Fagen,The Nightfly
Donna De Lory,Praying For Love
Donna Summer,I Feel Love
Donny Hathaway,A Song for You
Donny Hathaway,Jealous Guy  (Live)
Dope Lemon,Honey Bones
Dorian Electra,Bizarre Love Triangle
Dorian Electra,Career Boy
Dorian Electra,Feel Good Inc.
Dorian Electra,Hella Good
Dorian Electra,Man To Man
Dot Allison,Bleached By The Sun
DrachenLord,Skrrr Skrrr
Dragonforce,Through The Fire And Flames
Dua Lipa,Levitating
Duke Ellington,In A Sentimental Mood
Duncan Laurence,Arcade (feat. FLETCHER)
Duran Duran,Ordinary World
Duran Duran,PSYCHO KILLER (feat. Victoria De Angelis) (Cover)
Durand Jones & The Indications,Witchoo
Dutyyaknow,Close in the Distance (FFXIV Endwalker) [Synthwave]
Dúné,Hardcore Vibes
Eagles,I Can't Tell You Why  (2013 Remaster)
Eagles,Take It Easy
"Earth, Wind & Fire",Let's Groove (Album Version)
"Earth, Wind & Fire",September
"Earth, Wind & Fire",Shining Star
Echo And The Bunnymen,The Killing Moon
Ed Sheeran,Bad Habits
Ed Sheeran,Perfect
Edie Brickell & New Bohemians,Circle (Album Version)
Edith Piaf,La Vie en rose
Ednaswap,Torn
Edwin Starr,War
Eiffel 65,Blue (Flume Remix)
Electric Light Orchestra,Evil Woman
Electric Light Orchestra,"Yours Truly, 2095"
Elis Regina,Águas De Marco
Ella Fitzgerald,"Bewitched, Bothered And Bewildered"
Ella Fitzgerald,"Bewitched, Bothered And Bewildered  (Ella Fitzgerald and Her Famous Orchestra Bewitched, Bothered And Bewildered)"
Ella Fitzgerald,Summertime
Elliott Smith,Angeles
Elliott Smith,Independence Day
Eluvium,Indoor Swimming At The Space Station
Eluvium,Surrounded by Illusion
Eluvium,Taken
Elvis Costello,Almost Blue
Elvis Costello,Watching The Detectives (Single Version)
Elvis Presley,Can't Help Falling in Love
Emancipator,Soon It Will Be Cold Enough to Build Fires
Emmylou Harris,Mister Sandman
Empire Of The Sun,Alive
Enjambre,Vida En El Espejo
Ennio Morricone,"Once Upon a Time in the West (From ""Once Upon a Time in the West"")"
Ennio Morricone,The Ecstasy of Gold
Enya,Caribbean Blue (2009 Remaster) (Remastered 2009)
Eric B. & Rakim,Paid In Full
Eric Clapton,Change the World
Erik Wøllo,Computerlove
Erykah Badu,Didn't Cha Know (Album Version)
Erykah Badu,Next Lifetime (Album Version)
Erykah Badu,Other Side Of The Game (Album Version)
Erykah Badu,Tyrone (Live Version)
Erykah Badu,Window Seat
Erykah Badu,Witch Doctor
Eskimo Joe,"Black Fingernails, Red Wine"
Etta James,At Last
Etta James,I'd Rather Go Blind
Eva Cassidy,At Last (Acoustic)
Evanescence,Bring Me To Life
Evergrey,In Orbit
Ewan Maccoll,The First Time Ever I Saw Your Face
Explosions In The Sky,Your Hand in Mine
Fabrizio De Andrè,Bocca di rosa
Falco,The Sound of Musik
Falco,Vienna Calling
Fall Out Boy,Uma Thurman
Faouzia,Minefields
Fat Bard,Crashlands!
Fat Bard,The Tendraam
Father John Misty,Just Dumb Enough to Try
Federico Aubele,Postales
Fela Kuti,Water No Get Enemy
Fennesz,Endless Summer
Ferrante & Teicher,Exodus
Filippo Beck Peccoz,Desperados III Main Theme
Filippo Beck Peccoz,Main Theme
Filippo Beck Peccoz,The Thieves of Imai
Filippo Beck Peccoz,Until Death Do Us Part
Fiona Apple,Slow Like Honey
Fito Páez,El amor después del amor
Flauschi,Pink
Fleet Foxes,Helplessness Blues
Fleetwood Mac,Albatross
Fleetwood Mac,Hypnotized
Fleetwood Mac,I Know I'm Not Wrong
Fleetwood Mac,Sara
Fleetwood Mac,Songbird (2004 Remaster)
Fleetwood Mac,That's All for Everyone
Fleetwood Mac,The Chain  (2004 Remaster)
Fleetwood Mac,The Ledge
Fleetwood Mac,Tusk
Floating Points,Birth4000
Floating Points,Last Bloom
Florence + The Machine,Dog Days Are Over
Florence + The Machine,You've Got The Love
Foster The People,Sit Next to Me
Four Tet,Two Thousand and Seventeen
France Clidat,"Pièces froides No.1 ""Trois airs à faire fuir"""
Frank Carter & The Rattlesnakes,Anxiety (Youngr Remix)
Frank Carter & The Rattlesnakes,Kitty Sucker
Frank Ocean,Pink + White
Frank Ocean,Pyramids
Frank Sinatra,Fly Me To The Moon (Remastered 2008)
Franko Mladen,Jamboree  (Remastered)
Fraunhofer Diffraction,Kvrt in Space
Freddie King,Going Down
Freddie Mercury,Love Kills
Free,Wild Indian Woman
Frightened Rabbit,The Modern Leper
Fugazi,Waiting Room
Fugees,Killing Me Softly
G.Rag & die Landlergschwister,Odessa
Gal Costa,Baby (Original Album)
Galimatias,Sly
Garbage,Only Happy When It Rains
Gary Jules,Mad World
Gary Lux,Listen to your heart
Gary Moore,Parisienne Walkways
Gene Kelly,Singin' in the Rain
Gene Watson,At Last
Geoffrey Oryema,Solitude
George Benson,Affirmation (Album Version)
George Benson,Dreamin' (Album Version)
George Clanton,Make It Forever
George Michael Duet with Mary J. Blige,As (Album Version)
Geowulf,Saltwater
Geraint Watkins,At Last
Gerry Rafferty,Right Down the Line
Gesu No Kiwami Otome,Revenge of Instinct
gesunokiwamiotome,watashi igai watashi ja naino
Getatchèw Mèkurya,Shellela
Gilbert Bécaud,Le Pianiste de Varsovie
Gilbert Bécaud,Nathalie
Gilberto Gil,Aquele Abraço
Giles Holland,Largo (Winter - The Four Seasons Op 8 No 4)
Gipsy Kings,Bamboleo
Girls' Generation,Gee
Glass Animals,Life Itself
Glen Hansard and Marketa Irglova,Falling Slowly (Album Version)
Glenn Gould,"3 Klavierstücke, Op. 11 - No. 1, Massig"
Glenn Gould,"3 Klavierstücke, Op. 11 - No. 2, Mässige Achtel (Instrumental)"
Glenn Gould,"3 Klavierstücke, Op. 11 - No. 3, Bewegte Achtel (Instrumental)"
Glenn Miller & His Orchestra,(I've Got A Gal In) Kalamazoo
Glenn Miller & His Orchestra,At Last
Gloria Estefan,Everlasting Love (Album Version)
Gloria Estefan,Rhythm Is Gonna Get You
Go_A,SHUM
Goldmund,Threnody
Gonzales,Gogol
Gorillaz,Damascus (feat. Omar Souleyman and Yasiin Bey)
Gorillaz,Hong Kong
Gorillaz,"Orange County (feat. Bizarrap, Kara Jackson and Anoushka Shankar)"
Gorillaz,Souk Eye
Gorillaz,"The Empty Dream Machine (feat. Black Thought, Johnny Marr and Anoushka Shankar)"
Grace Jones,I've Seen That Face Before (Libertango)
Grace Jones,Slave To The Rhythm (Hot Blooded Version)
Grateful Dead,Eyes of the World
Green Day,American Idiot (Album Version)
Greg Shilling,Shampoo
Grethe & Jørgen Ingmann,Dansevise
Groove Armada,At the River
Groove Armada,Madder
Groove Armada,My Friend (Album Version)
Grossstadtgeflüster,Fickt-Euch-Allee
Grouper,Alien Observer
Grouper,Holding
Grover Washington Jr.,Just the Two of Us (feat. Bill Withers)
Grover Washington Jr.,Mister Magic
Guitar Tribute Players,Angel of Small Death and the Codeine Scene
Guns N' Roses,Estranged (2022 Remaster)
Gus Dapperton,Ditch
Gustavo Cerati,Crimen
Gustavo Cerati,Puente
Guts,Laisser Lucie faire
Haddaway,"What Is Love (7"" Mix) (Remastered 2025) (7"" Mix / Remastered 2025)"
Haddaway,What Is Love (Lynx & Pico Remix)
Hailu Mergia,Tezeta
Hammerfall,Hearts On Fire
Hammock,Maybe They Will Sing for Us Tomorrow
Hammock,Tape Recorder
Hania Rani,Dancing with Ghosts
Hania Rani,Eden
Hania Rani,Glass
Hania Rani,Riksarkivet
Hania Rani,Whispering House
Hania Rani,Woven Song — piano reworks
Hank Williams,I'm So Lonesome I Could Cry (Single Version)
Hans Tanz,Neues Land
Hans Zimmer,S.T.A.Y.
Hard Life,daydreams
Hariprasad Chaurasia,Bhupali
Harold Budd,A Stream With Bright Fish (2005 Digital Remaster)
Harold Budd,Lost In The Humming Air (2005 Digital Remaster)
Harold Faltermeyer,"Axel F (From ""Beverly Hills Cop"" Soundtrack)"
Harold Faltermeyer,Bad Guys (From “Beverly Hills Cop II” Soundtrack)
Harris Jayaraj,"Adiyae Kolluthey (From ""Vaaranam Aayiram"")"
Harry Kaze,Sunlight
Haute & Freddy,Dance The Pain Away
Haute & Freddy,Shy Girl
Head Automatica,Beating Heart Baby (Album Version)
Heathered Pearls,Pacific Summits (Pulse Version)
Hector Villalobos,Bachianas Brasileiras No. 5: I Aria (Cantilena)
Heejin,Algorithm
Helado Negro,Brown Fluorescence
Helen Forrest,"It's Been A Long, Long Time"
Helios,First Dream Called Ocean
Helloween,Eagle Fly Free (Remastered 2024)
Hem,Betting on Trains (Remastered 2025)
Henry Cow,Beautiful as the Moo
Henry Mancini,Moon River (Remastered)
Her's,Blue Lips
Herb Alpert's Tijuana Brass,A Taste of Honey
Herbert Waltl,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. Allegro"
Herbie Hancock,Cantaloupe Island
Herbie Hancock,Chameleon
Hikaru Utada,First Love
Hindi Zahra,Beautiful Tango (Remastered Version)
Hiroshi Yoshimura,Feel
Holly Herndon,Chorus
Home,We're Finally Landing
Horace Silver,Opus De Funk (Remastered 1998/Rudy Van Gelder Edition)
Horace Silver Quintet,Peace
Hotel Ugly,Mice City
Howlin' Wolf,Smokestack Lightnin'
Hozier,Angel Of Small Death & The Codeine Scene
Hozier,Cherry Wine  (Live)
Hozier,"Wasteland, Baby!"
Huey Lewis And The News,Hip To Be Square
Huey Lewis And The News,The Power Of Love
Human League,Don't You Want Me
Hundreds,Black Sea  (Live at Elbphilharmonie)
HYD,Freak
Hämatom,Liebe auf den ersten Fick
Icona Pop,I Love It (feat. Charli XCX)
Ideal,Blaue Augen
Iggy Pop,Mass Production
indigo la End,Haru No Iutoori
Insane Clown Posse,Cemetary Girl
INXS,Don't Change
